model,Overall Model Accuracy,Precision (Macro),Recall (Macro),F1 Score (Macro)
RandomForest,0.9799749687108886,0.9781092376148606,0.8900777266796023,0.928292728209358
GradientBoosting,0.9799749687108886,0.9791794565095115,0.8973460721868365,0.9297453135638787
IsolationForest,0.5894868585732165,0.14737171464330412,0.25,0.18543307086614172
OneClassSVM,0.5894868585732165,0.14737171464330412,0.25,0.18543307086614172
LocalOutlierFactor,0.5894868585732165,0.14737171464330412,0.25,0.18543307086614172
DBSCAN,0.5894868585732165,0.14737171464330412,0.25,0.18543307086614172
KMeans,0.7959949937421777,0.38837295205219735,0.42258365258811825,0.4042735515258735
Autoencoder,0.5894868585732165,0.14737171464330412,0.25,0.18543307086614172
LSTM(Classifier),0.8197747183979975,0.40092272202998847,0.43110168362830126,0.4154588976263288
